                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.8484,2.9381,3.5191,0.00164,0.22985,0.00102,0.00031,4.123,5.9225,4.3585,0.00066348,0.00066348,0.00066348
2,2.0837,2.1693,2.6181,0.43606,0.53236,0.39631,0.14398,2.0282,2.1613,2.5286,0.0013221,0.0013221,0.0013221
3,1.8486,1.8881,2.2994,0.53116,0.31836,0.33254,0.11977,2.2815,2.5174,2.8572,0.0019726,0.0019726,0.0019726
4,1.7183,1.6854,2.1069,0.78294,0.63849,0.71828,0.32887,1.8145,1.601,2.0813,0.0019636,0.0019636,0.0019636
5,1.6189,1.5129,1.9967,0.84482,0.70013,0.77372,0.43398,1.4958,1.44,1.9337,0.0019636,0.0019636,0.0019636
6,1.5569,1.399,1.9338,0.86086,0.72655,0.79934,0.44464,1.404,1.5708,1.804,0.0019514,0.0019514,0.0019514
7,1.4951,1.3324,1.8711,0.85032,0.75797,0.82528,0.47988,1.4225,1.1199,1.8403,0.0019393,0.0019393,0.0019393
8,1.4391,1.2404,1.8163,0.82745,0.70949,0.80039,0.4813,1.3276,1.142,1.6791,0.0019271,0.0019271,0.0019271
9,1.4246,1.1868,1.7825,0.92952,0.74912,0.89126,0.56158,1.3019,0.91994,1.6083,0.001915,0.001915,0.001915
10,1.3894,1.1562,1.7551,0.90151,0.81242,0.90303,0.60749,1.1775,0.84442,1.5138,0.0019028,0.0019028,0.0019028
11,1.3593,1.0844,1.7317,0.8861,0.82299,0.88647,0.5572,1.2184,0.88627,1.5571,0.0018907,0.0018907,0.0018907
12,1.3318,1.045,1.6955,0.91995,0.8111,0.91934,0.62533,1.1274,0.75211,1.4485,0.0018785,0.0018785,0.0018785
13,1.2979,1.0052,1.6708,0.92673,0.85208,0.92314,0.62699,1.1497,0.72666,1.5055,0.0018664,0.0018664,0.0018664
14,1.2723,0.96643,1.6408,0.9273,0.88507,0.93655,0.64057,1.0947,0.68703,1.4186,0.0018542,0.0018542,0.0018542
15,1.2602,0.94146,1.6292,0.91524,0.87847,0.93343,0.6259,1.0698,0.79369,1.3929,0.0018421,0.0018421,0.0018421
16,1.2221,0.90591,1.593,0.95405,0.87979,0.94128,0.64715,1.0975,0.65722,1.3812,0.0018299,0.0018299,0.0018299
17,1.2206,0.88909,1.5886,0.95423,0.88136,0.94252,0.6701,1.0479,0.65759,1.3561,0.0018178,0.0018178,0.0018178
18,1.2042,0.85418,1.5778,0.96703,0.90357,0.95291,0.66732,1.0581,0.62465,1.3645,0.0018056,0.0018056,0.0018056
19,1.195,0.8462,1.5668,0.95748,0.89235,0.95263,0.68425,1.0139,0.61594,1.3145,0.0017935,0.0017935,0.0017935
20,1.172,0.82496,1.5425,0.94512,0.85733,0.9494,0.64873,1.0986,0.63878,1.4086,0.0017813,0.0017813,0.0017813
21,1.1575,0.79672,1.5286,0.94165,0.89536,0.96025,0.67494,1.008,0.58954,1.2934,0.0017692,0.0017692,0.0017692
22,1.1257,0.76811,1.5064,0.96149,0.89046,0.96118,0.70124,0.96983,0.5713,1.2808,0.0017571,0.0017571,0.0017571
23,1.1326,0.75884,1.5175,0.95727,0.88788,0.95864,0.6928,0.97715,0.56894,1.2841,0.0017449,0.0017449,0.0017449
24,1.1216,0.75613,1.4948,0.94571,0.92039,0.96821,0.68811,1.0291,0.5955,1.3011,0.0017328,0.0017328,0.0017328
25,1.1019,0.72555,1.4788,0.95743,0.92206,0.97259,0.70397,0.94863,0.53109,1.2585,0.0017206,0.0017206,0.0017206
26,1.0938,0.70994,1.4807,0.96097,0.91075,0.97381,0.70552,0.97893,0.51954,1.2725,0.0017085,0.0017085,0.0017085
27,1.0802,0.70275,1.4711,0.97381,0.93335,0.97408,0.71107,0.94831,0.49856,1.2552,0.0016963,0.0016963,0.0016963
28,1.0871,0.70485,1.4675,0.97449,0.91942,0.98187,0.7245,0.90903,0.48762,1.1955,0.0016842,0.0016842,0.0016842
29,1.0594,0.68145,1.4461,0.97884,0.93527,0.97958,0.72038,0.94949,0.50097,1.2261,0.001672,0.001672,0.001672
30,1.0623,0.68166,1.4406,0.96196,0.93395,0.98049,0.72005,0.97407,0.5115,1.2483,0.0016599,0.0016599,0.0016599
31,1.0459,0.66423,1.4393,0.96644,0.95244,0.98187,0.73056,0.91655,0.46959,1.208,0.0016477,0.0016477,0.0016477
32,1.045,0.65519,1.4374,0.97541,0.94452,0.97957,0.7354,0.92677,0.47867,1.2229,0.0016356,0.0016356,0.0016356
33,1.0473,0.65666,1.4283,0.97431,0.94055,0.98336,0.73402,0.90011,0.4754,1.1986,0.0016234,0.0016234,0.0016234
34,1.0294,0.63577,1.4207,0.97675,0.94323,0.9842,0.74642,0.87588,0.45184,1.1775,0.0016113,0.0016113,0.0016113
35,1.0141,0.62939,1.4083,0.97833,0.95438,0.98363,0.75367,0.8745,0.44247,1.1719,0.0015991,0.0015991,0.0015991
36,1.0154,0.63004,1.4102,0.95917,0.95376,0.98241,0.73963,0.8967,0.45843,1.1888,0.001587,0.001587,0.001587
37,1.0047,0.62073,1.4007,0.97371,0.94584,0.98449,0.7455,0.88201,0.44238,1.178,0.0015748,0.0015748,0.0015748
38,1.0032,0.6065,1.3915,0.97273,0.95244,0.98475,0.74833,0.89969,0.4342,1.1863,0.0015627,0.0015627,0.0015627
39,1.0018,0.61224,1.3941,0.96721,0.96433,0.98618,0.75445,0.8698,0.41635,1.1589,0.0015506,0.0015506,0.0015506
40,0.98759,0.59412,1.3824,0.9742,0.95376,0.98474,0.75191,0.89926,0.4369,1.1749,0.0015384,0.0015384,0.0015384
41,0.99566,0.60366,1.3911,0.98091,0.96697,0.99006,0.75561,0.86048,0.41438,1.1538,0.0015263,0.0015263,0.0015263
42,0.97298,0.58155,1.3758,0.96313,0.96613,0.98663,0.75324,0.85668,0.41619,1.155,0.0015141,0.0015141,0.0015141
43,0.97741,0.57848,1.3739,0.97202,0.95773,0.98565,0.74782,0.88199,0.43583,1.1693,0.001502,0.001502,0.001502
44,0.96616,0.56505,1.3569,0.98358,0.94971,0.98595,0.75833,0.85712,0.40352,1.1512,0.0014898,0.0014898,0.0014898
45,0.95758,0.56264,1.3616,0.97977,0.95983,0.9907,0.76108,0.85434,0.39594,1.149,0.0014777,0.0014777,0.0014777
46,0.94299,0.54951,1.3455,0.98236,0.95645,0.98977,0.76056,0.87287,0.40209,1.1582,0.0014655,0.0014655,0.0014655
47,0.94475,0.55231,1.3461,0.98035,0.95773,0.98933,0.75773,0.86359,0.40733,1.1446,0.0014534,0.0014534,0.0014534
48,0.95122,0.55944,1.348,0.97368,0.96962,0.99104,0.76686,0.86678,0.39149,1.1417,0.0014412,0.0014412,0.0014412
49,0.93254,0.54124,1.3316,0.97782,0.96565,0.98998,0.76104,0.87245,0.40249,1.1595,0.0014291,0.0014291,0.0014291
50,0.93512,0.53902,1.3398,0.97719,0.96218,0.99098,0.75624,0.86589,0.40935,1.1503,0.0014169,0.0014169,0.0014169
51,0.93519,0.53961,1.3391,0.98188,0.96169,0.99087,0.76892,0.85497,0.39472,1.1441,0.0014048,0.0014048,0.0014048
52,0.92913,0.53031,1.3235,0.98134,0.95773,0.9893,0.77015,0.82978,0.38252,1.1284,0.0013926,0.0013926,0.0013926
53,0.91076,0.52341,1.3157,0.9746,0.9631,0.98941,0.76604,0.83852,0.39444,1.1314,0.0013805,0.0013805,0.0013805
54,0.92396,0.51839,1.3195,0.97725,0.96453,0.99001,0.77143,0.84204,0.3901,1.1266,0.0013683,0.0013683,0.0013683
55,0.91235,0.51122,1.314,0.96703,0.98811,0.99282,0.77282,0.83722,0.3752,1.1296,0.0013562,0.0013562,0.0013562
56,0.91451,0.51503,1.3235,0.98279,0.96037,0.99031,0.75791,0.84406,0.38947,1.1358,0.001344,0.001344,0.001344
57,0.90926,0.50233,1.318,0.96482,0.98547,0.99336,0.76435,0.84784,0.3776,1.1338,0.0013319,0.0013319,0.0013319
58,0.90712,0.5041,1.3166,0.98468,0.96433,0.99175,0.76514,0.84776,0.38062,1.135,0.0013198,0.0013198,0.0013198
59,0.91322,0.5172,1.3212,0.9798,0.96121,0.99166,0.76911,0.84744,0.37716,1.1258,0.0013076,0.0013076,0.0013076
60,0.89886,0.50167,1.3004,0.97588,0.9622,0.99099,0.77109,0.84445,0.37046,1.13,0.0012955,0.0012955,0.0012955
61,0.89247,0.49753,1.3054,0.97724,0.96421,0.99061,0.77109,0.84588,0.37356,1.1357,0.0012833,0.0012833,0.0012833
62,0.88388,0.48957,1.295,0.97628,0.96697,0.99134,0.77476,0.82772,0.36413,1.1159,0.0012712,0.0012712,0.0012712
63,0.90217,0.49853,1.3069,0.97814,0.96037,0.99128,0.78103,0.82696,0.36223,1.1171,0.001259,0.001259,0.001259
64,0.88273,0.48366,1.2972,0.98193,0.96697,0.99078,0.77435,0.83646,0.36264,1.1275,0.0012469,0.0012469,0.0012469
65,0.88374,0.48655,1.3028,0.98126,0.96812,0.99152,0.77361,0.83733,0.36688,1.1269,0.0012347,0.0012347,0.0012347
66,0.87959,0.48084,1.2917,0.98002,0.96565,0.98972,0.77747,0.83854,0.36025,1.1269,0.0012226,0.0012226,0.0012226
67,0.88172,0.47815,1.2885,0.98048,0.9683,0.99227,0.77892,0.82876,0.35973,1.1111,0.0012104,0.0012104,0.0012104
68,0.86069,0.47015,1.2896,0.97833,0.96697,0.99148,0.76384,0.82717,0.36314,1.1207,0.0011983,0.0011983,0.0011983
69,0.87451,0.4711,1.284,0.97747,0.97441,0.9923,0.78231,0.81861,0.35359,1.116,0.0011861,0.0011861,0.0011861
70,0.87047,0.4711,1.2846,0.98151,0.97226,0.99289,0.77642,0.83746,0.35102,1.1264,0.001174,0.001174,0.001174
71,0.86296,0.46846,1.2785,0.98262,0.96697,0.99212,0.7815,0.83379,0.34871,1.1154,0.0011618,0.0011618,0.0011618
72,0.85989,0.45845,1.2739,0.98205,0.96697,0.99091,0.78006,0.81892,0.34403,1.1093,0.0011497,0.0011497,0.0011497
73,0.86199,0.45634,1.2762,0.98518,0.96578,0.99198,0.77923,0.83937,0.35397,1.1209,0.0011375,0.0011375,0.0011375
74,0.85133,0.45671,1.2707,0.98388,0.96741,0.99287,0.77947,0.82393,0.34748,1.1159,0.0011254,0.0011254,0.0011254
75,0.85971,0.45661,1.2769,0.97997,0.96965,0.99309,0.78098,0.81611,0.34579,1.118,0.0011133,0.0011133,0.0011133
76,0.85794,0.45657,1.2749,0.97765,0.97094,0.9923,0.78027,0.83875,0.35673,1.1305,0.0011011,0.0011011,0.0011011
