                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0437,                 3.1848,                 3.8512,                0.09965,                0.10474,                0.03073,                0.00822,                   4.33,                 10.171,                 5.6478,             0.00065909,             0.00065909,             0.00065909
                      2,                 2.6461,                 2.8003,                 3.2132,                0.08199,                0.01976,                0.01195,                0.00497,                 3.9725,                 3.6527,                 4.7069,              0.0013177,              0.0013177,              0.0013177
                      3,                 2.5745,                 2.6844,                 3.0726,                0.40584,                0.41304,                0.29787,                0.10501,                 2.2922,                 3.1913,                 2.8505,              0.0019682,              0.0019682,              0.0019682
                      4,                 2.4036,                 2.4145,                  2.859,                0.16962,                0.44862,                0.14865,                0.04242,                 2.4048,                 2.8845,                 2.9183,              0.0019636,              0.0019636,              0.0019636
                      5,                 2.2578,                 2.2138,                 2.6751,                0.45599,                0.44269,                0.41517,                0.15742,                 2.0088,                 2.8105,                 2.4576,              0.0019636,              0.0019636,              0.0019636
                      6,                 2.0804,                 1.9991,                 2.4344,                0.46873,                0.50042,                0.44037,                0.12669,                 2.2916,                  4.955,                 2.7073,              0.0019514,              0.0019514,              0.0019514
                      7,                 1.9437,                 1.8199,                 2.2847,                 0.7251,                0.60991,                0.61764,                0.30614,                 1.8702,                 1.6927,                 2.2791,              0.0019393,              0.0019393,              0.0019393
                      8,                 1.8445,                 1.7487,                 2.1871,                0.79243,                0.57708,                0.63732,                0.28845,                 1.9599,                 1.7151,                 2.3405,              0.0019271,              0.0019271,              0.0019271
                      9,                 1.7847,                 1.6274,                 2.1157,                0.78956,                0.66206,                0.75459,                0.36301,                 1.7766,                 1.7685,                  2.161,               0.001915,               0.001915,               0.001915
                     10,                  1.749,                 1.5894,                 2.0598,                0.77417,                0.59881,                 0.6651,                0.35412,                 1.6904,                 1.6078,                 2.0862,              0.0019028,              0.0019028,              0.0019028
                     11,                 1.6915,                 1.4892,                 1.9966,                0.87016,                0.59486,                0.74002,                0.36567,                 1.7737,                 1.4332,                  2.135,              0.0018907,              0.0018907,              0.0018907
                     12,                 1.6477,                 1.4242,                 1.9394,                0.76065,                 0.7253,                0.76234,                0.40649,                 1.6494,                 1.3577,                  2.072,              0.0018785,              0.0018785,              0.0018785
                     13,                 1.5982,                   1.39,                 1.9059,                0.81252,                 0.6917,                0.80173,                0.44241,                 1.5285,                 1.4015,                 1.8908,              0.0018664,              0.0018664,              0.0018664
                     14,                 1.5724,                 1.3414,                 1.8718,                0.86223,                0.72332,                0.81111,                0.38222,                 1.7651,                 1.2217,                 2.0358,              0.0018542,              0.0018542,              0.0018542
                     15,                 1.5541,                 1.2767,                  1.842,                0.82612,                0.73239,                0.82998,                 0.4828,                 1.4914,                 1.2842,                  1.837,              0.0018421,              0.0018421,              0.0018421
                     16,                 1.4955,                 1.2279,                 1.7991,                0.84889,                0.71739,                0.83211,                0.44264,                 1.6766,                 1.1408,                 1.9791,              0.0018299,              0.0018299,              0.0018299
                     17,                 1.5017,                 1.2145,                 1.7973,                0.87484,                0.75296,                0.86063,                0.49593,                 1.4826,                 1.0205,                 1.8026,              0.0018178,              0.0018178,              0.0018178
                     18,                 1.4548,                 1.1861,                 1.7523,                0.88839,                0.75692,                0.87529,                0.50986,                 1.4613,                0.97954,                 1.7464,              0.0018056,              0.0018056,              0.0018056
